date	open	high	low	close	volume	daily_change_percentage
2025-11-12	292.08	292.36	284.38	287.43	16998821	-1.59
2025-11-11	288.20	292.34	287.88	291.74	14156729	1.23
2025-11-10	285.26	291.46	283.54	290.59	19508185	1.87
2025-11-07	284.21	284.50	275.74	279.70	21991128	-1.59
2025-11-06	285.74	288.81	281.62	285.34	23103777	-0.14
2025-11-05	279.38	286.70	277.88	284.75	19657321	1.92
2025-11-04	277.06	281.83	276.87	278.06	18123709	0.36
2025-11-03	282.42	285.94	280.37	284.12	19691754	0.60
2025-10-31	283.20	286.29	277.52	281.82	29932813	-0.49
2025-10-30	291.72	291.93	280.45	281.90	48570034	-3.37
2025-10-29	268.61	275.97	268.43	275.17	26287850	2.44
2025-10-28	270.20	271.38	267.17	268.43	20101160	-0.66
2025-10-27	265.36	270.80	264.94	269.93	22987660	1.72
2025-10-24	257.30	262.51	256.10	260.51	18405966	1.25
2025-10-23	253.70	255.86	252.77	253.73	13241319	0.01
2025-10-22	255.01	257.18	250.45	252.53	19650244	-0.97
2025-10-21	255.25	255.38	244.67	251.34	27836425	-1.53
2025-10-20	255.23	257.88	254.60	257.02	13726831	0.70
2025-10-17	251.35	254.88	248.59	253.79	17653826	0.97
2025-10-16	252.47	257.58	250.67	251.88	18945987	-0.23
2025-10-15	248.09	252.76	246.79	251.71	16048087	1.46
2025-10-14	241.75	248.03	241.18	246.19	17705370	1.83
2025-10-13	241.03	244.99	240.75	244.64	12464965	1.50
2025-10-10	242.16	244.84	236.69	237.49	22449083	-1.93
2025-10-09	245.06	245.56	239.68	242.21	19375722	-1.16
2025-10-08	246.20	247.26	245.09	245.46	14136494	-0.30
2025-10-07	248.93	251.55	246.81	247.13	13811174	-0.72
2025-10-06	245.78	252.20	245.69	251.51	18309030	2.33
2025-10-03	245.23	247.12	242.47	246.45	19941381	0.50
2025-10-02	245.64	247.63	243.10	246.43	20657524	0.32
2025-10-01	241.18	247.15	239.20	245.54	23967662	1.81
2025-09-30	243.06	243.68	239.57	243.55	22541189	0.20
2025-09-29	248.28	251.65	243.20	244.36	23157245	-1.58
2025-09-26	247.78	250.12	246.64	247.18	16594608	-0.24
2025-09-25	244.84	247.31	241.65	246.57	17379793	0.71
2025-09-24	252.15	252.96	247.22	247.83	16958511	-1.71
2025-09-23	253.66	254.77	251.09	252.34	17521091	-0.52
2025-09-22	254.78	256.31	250.81	252.88	20078982	-0.75
2025-09-19	253.40	256.70	252.07	255.24	41616844	0.73
2025-09-18	251.86	254.14	250.11	252.33	21166359	0.19
2025-09-17	251.46	251.95	246.58	249.85	20491324	-0.64
2025-09-16	252.33	253.23	249.72	251.42	24493512	-0.36
2025-09-15	245.14	252.75	244.98	251.76	29935150	2.70
2025-09-12	240.80	242.42	238.50	241.38	14536593	0.24
2025-09-11	240.14	242.57	236.58	240.78	21308614	0.27
2025-09-10	239.25	242.08	238.11	239.56	19990138	0.13
2025-09-09	234.19	240.59	233.38	239.94	22854794	2.46
2025-09-08	235.79	238.40	233.73	234.16	23128799	-0.69
2025-09-05	232.66	236.13	232.38	235.17	26127737	1.08
2025-09-04	230.16	232.77	226.76	232.66	32196009	1.09
2025-09-03	226.48	231.80	225.12	231.10	70558470	2.04
2025-09-02	208.99	212.37	206.96	211.99	28900069	1.44
