date	open	high	low	close	volume	daily_change_percentage
2025-05-27	456.48	460.95	456.12	460.69	20974293	0.92
2025-05-23	449.98	453.69	448.91	450.18	16883509	0.04
2025-05-22	454.95	460.25	453.90	454.86	18025612	-0.02
2025-05-21	454.57	457.78	451.81	452.57	19216906	-0.44
2025-05-20	455.59	458.34	454.32	458.17	15441808	0.57
2025-05-19	450.88	459.58	450.80	458.87	21336509	1.77
2025-05-16	452.05	454.36	448.73	454.27	23849781	0.49
2025-05-15	450.76	456.19	450.43	453.13	21992323	0.52
2025-05-14	448.14	453.90	448.14	452.94	19902796	1.07
2025-05-13	447.78	450.67	445.36	449.14	23618819	0.30
